date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:24:18	239/239	---M--	404	error ('Not%20Found')	text/html	etag:%229e3d823edbc3378b77fe4b0bc11a153c%22	https://www.spacex.com/robots.txt		(from )
09:24:18	176931/176931	---M--	200	added ('OK')	text/html	etag:%2291a486d22753973e2e3e536d1c305850%22	https://www.spacex.com/human-spaceflight/mars/	E:/SN_web_dev/spacex/www.spacex.com/human-spaceflight/mars/index.html	(from )
09:24:19	26975/26975	---M--	200	added ('OK')	image/jpeg	etag:%22f2b1b847235119d0ae094a606c74fca4%22	https://www.spacex.com/static/images/share.jpg	E:/SN_web_dev/spacex/www.spacex.com/static/images/share.jpg	(from https://www.spacex.com/human-spaceflight/mars/)
09:24:20	76766/76766	---M--	200	added ('OK')	text/css	etag:%2225959ba7b87b16476ecf76509a26126c%22	https://www.spacex.com/style.min.css	E:/SN_web_dev/spacex/www.spacex.com/style.min.css	(from https://www.spacex.com/human-spaceflight/mars/)
09:24:22	117737/117737	---M--	200	added ('OK')	application/javascript	etag:%2203a5e88aadee935e5bb2f01d546c9d29%22	https://www.spacex.com/static/player-min.js	E:/SN_web_dev/spacex/www.spacex.com/static/player-min.js	(from https://www.spacex.com/human-spaceflight/mars/)
09:24:24	255707/255707	---M--	200	added ('OK')	application/javascript	etag:%22c4e84774c704055026d43294bfa7fafa%22	https://www.spacex.com/static/deps-min.js	E:/SN_web_dev/spacex/www.spacex.com/static/deps-min.js	(from https://www.spacex.com/human-spaceflight/mars/)
09:24:24	4438/4438	---M--	200	added ('OK')	application/javascript	etag:%2289f979778ccc5eda1825caf2c5ad8c9c%22	https://www.spacex.com/static/simplex-noise-min.js	E:/SN_web_dev/spacex/www.spacex.com/static/simplex-noise-min.js	(from https://www.spacex.com/human-spaceflight/mars/)
09:24:25	45929/45929	---M--	200	added ('OK')	application/javascript	etag:%2261c352bb09624cb5193f0471a37e86a3%22	https://www.spacex.com/static/ramda.min.js	E:/SN_web_dev/spacex/www.spacex.com/static/ramda.min.js	(from https://www.spacex.com/human-spaceflight/mars/)
09:24:25	11224/11224	---M--	200	added ('OK')	application/javascript	etag:%22d163349ab1afde729f0e7dac94fa1f32%22	https://www.spacex.com/static/core-min.js	E:/SN_web_dev/spacex/www.spacex.com/static/core-min.js	(from https://www.spacex.com/human-spaceflight/mars/)
09:24:25	4542/4542	---M--	200	added ('OK')	application/javascript	etag:%223e28851da98af2fb20451ad22c34c5b9%22	https://www.spacex.com/static/infographics-min.js	E:/SN_web_dev/spacex/www.spacex.com/static/infographics-min.js	(from https://www.spacex.com/human-spaceflight/mars/)
09:24:26	20744/20744	---M--	200	added ('OK')	font/woff2	etag:%22513ab2a5980be8e2c2ec7353e918f20b%22	https://www.spacex.com/fonts/D-DIN.woff2	E:/SN_web_dev/spacex/www.spacex.com/fonts/D-DIN.woff2	(from https://www.spacex.com/style.min.css)
09:24:27	26140/26140	---M--	200	added ('OK')	font/woff	etag:%227d2271b97e1fc197a8410ec269814cbc%22	https://www.spacex.com/fonts/D-DIN.woff	E:/SN_web_dev/spacex/www.spacex.com/fonts/D-DIN.woff	(from https://www.spacex.com/style.min.css)
09:24:28	59860/59860	---M--	200	added ('OK')	font/otf	etag:%22d68d8669232a9e8215831889eba83db1%22	https://www.spacex.com/fonts/D-DIN.otf	E:/SN_web_dev/spacex/www.spacex.com/fonts/D-DIN.otf	(from https://www.spacex.com/style.min.css)
09:24:28	22052/22052	---M--	200	added ('OK')	font/woff2	etag:%22fb679b2531990a9222182c552ad691ee%22	https://www.spacex.com/fonts/D-DIN-Bold.woff2	E:/SN_web_dev/spacex/www.spacex.com/fonts/D-DIN-Bold.woff2	(from https://www.spacex.com/style.min.css)
09:24:28	27660/27660	---M--	200	added ('OK')	font/woff	etag:%22c37b97b969656107e679d7ad8ef77a79%22	https://www.spacex.com/fonts/D-DIN-Bold.woff	E:/SN_web_dev/spacex/www.spacex.com/fonts/D-DIN-Bold.woff	(from https://www.spacex.com/style.min.css)
09:24:29	60188/60188	---M--	200	added ('OK')	font/otf	etag:%22c352e7b670254267d30d47bc3a52b3b2%22	https://www.spacex.com/fonts/D-DIN-Bold.otf	E:/SN_web_dev/spacex/www.spacex.com/fonts/D-DIN-Bold.otf	(from https://www.spacex.com/style.min.css)
09:24:55	851487/851487	---M--	200	added ('OK')	image/jpeg	etag:%221f9c9fe3d7682c9b5d8bfdcbe7686b94%22	https://www.spacex.com/static/images/backgrounds/human_spaceflight_earth.jpg	E:/SN_web_dev/spacex/www.spacex.com/static/images/backgrounds/human_spaceflight_earth.jpg	(from https://www.spacex.com/style.min.css)
09:24:56	331422/331422	---M--	200	added ('OK')	image/jpeg	etag:%2226c6342395f8eec4ccfcedb662f976d6%22	https://www.spacex.com/static/images/backgrounds/human_spaceflight_mars.jpg	E:/SN_web_dev/spacex/www.spacex.com/static/images/backgrounds/human_spaceflight_mars.jpg	(from https://www.spacex.com/style.min.css)
09:24:56	698116/698116	---M--	200	added ('OK')	image/jpeg	etag:%220d991033da089a5ec45affd2b53bd333%22	https://www.spacex.com/static/images/backgrounds/human_spaceflight_iss.jpg	E:/SN_web_dev/spacex/www.spacex.com/static/images/backgrounds/human_spaceflight_iss.jpg	(from https://www.spacex.com/style.min.css)
09:24:57	530577/530577	---M--	200	added ('OK')	image/jpeg	etag:%22f82de493740b4f3ea737355531d229e7%22	https://www.spacex.com/static/images/backgrounds/human_spaceflight_moon.jpg	E:/SN_web_dev/spacex/www.spacex.com/static/images/backgrounds/human_spaceflight_moon.jpg	(from https://www.spacex.com/style.min.css)
09:25:08	194270/194270	---M--	200	added ('OK')	image/jpeg	etag:%229efdbc8552999684762bfc5014e735af%22	https://www.spacex.com/static/images/backgrounds/human_spaceflight_iss-mobile.jpg	E:/SN_web_dev/spacex/www.spacex.com/static/images/backgrounds/human_spaceflight_iss-mobile.jpg	(from https://www.spacex.com/style.min.css)
09:25:12	338933/338933	---M--	200	added ('OK')	image/jpeg	etag:%22c4c571cc058bbfbbce67f883cac434d4%22	https://www.spacex.com/static/images/backgrounds/human_spaceflight_moon-mobile.jpg	E:/SN_web_dev/spacex/www.spacex.com/static/images/backgrounds/human_spaceflight_moon-mobile.jpg	(from https://www.spacex.com/style.min.css)
09:25:13	556871/556871	---M--	200	added ('OK')	image/jpeg	etag:%221394a8140df197184c25688c18a0915d%22	https://www.spacex.com/static/images/backgrounds/human_spaceflight_earth-mobile.jpg	E:/SN_web_dev/spacex/www.spacex.com/static/images/backgrounds/human_spaceflight_earth-mobile.jpg	(from https://www.spacex.com/style.min.css)
09:25:15	320052/320052	---M--	200	added ('OK')	image/jpeg	etag:%22d3f440416cc049b2bf591eb216ce8434%22	https://www.spacex.com/static/images/backgrounds/human_spaceflight_mars-mobile.jpg	E:/SN_web_dev/spacex/www.spacex.com/static/images/backgrounds/human_spaceflight_mars-mobile.jpg	(from https://www.spacex.com/style.min.css)
